NAM	10122.154	2204517		58.7	
NAM	9137.797	2530150	12.449852	59.3	4.4594
NAM	9048.184	2489099	12.173084	62.8	4.5741
NAM	9431.044	2132343	14.444222	56.6	4.885587
NAM	10554.564	2243008		59.8	
NAM	10009.578	2446648	13.038265	63.1	4.5711
NAM	9747.819	2167474	17.901054	57.6	
NAM	10627.635	2323351		61.7	4.574
NAM	10335.268	2364540		62.3	4.4413
ETH	1987.9688	108197944		64.8	4.3502
ETH	2319.0684	120283024		65	4.2415
ETH	1336.0669	91817936		60.7	4.064207
ETH	2181.659	114120592		65.8	4.1862
ETH	1864.4877	105293232		64.4	4.46
ETH	1750.6727	102471896		63.6	4.508
ETH	2067.4565	111129440		65.4	4.2858
ETH	1411.136	94451280	8.631964	61.5	
ETH	1629.1891	99746768		62.9	4.512
ETH	1518.1438	97084376		62.4	
ETH	2253.2358	117190920		65.4	4.2747
KWT	55583.562	3761590		79.4	6.295
KWT	43922.63	4360451	0.25226787	76.9	6.1061
KWT	61356.938	3143827	1.876695	78.5	6.574075
KWT		4250111		78.7	6.1061
KWT	48943.008	4317190	0.85703987	79.7	6.0207
KWT	50007.3	4124904	1.1151773	79.8	6.0834
KWT	60588.156	3394668	1.7969383	78.8	
KWT	53808.125	3908745		79.6	6.239
KWT	47314.797	4441105	0.36027116	79.7	6.1021
KWT	53476.12	4048090		79.7	6.105
KWT	57051.742	3646520		79.2	
GBR	44247.03	64773504	0.90932244	81.2	6.867
GBR	42389.145	63286360	1.0128565	80.8	6.936396
GBR	46878.137	66432996	1.1364834	81.1	7.0537
GBR	47362.266	66778660	1.150068	81.7	7.1645
GBR	44978.715	67281040		80.7	6.9425
GBR	42705.15	63808728	0.98262423	80.9	
GBR	44948.336	65224368	0.99962646	80.9	6.725
GBR	43192.08	64302296	0.9377581	80.9	
GBR	46372.387	66064808	1.2245553	81.2	6.8143
GBR	41984.105	67059472	1.0035868	80.4	7.0636
GBR	45574.848	65655204	1.2017326	81.1	6.714
KHM	3761.9114	15624586		70.2	4.168
KHM	2856.5308	14573894	1.8389057	68.4	4.100715
KHM	4276.1846	16396864		70.4	4.8304
KHM	3378.3645	15210817		69.7	3.819
KHM	4217.6216	16025242		70.6	4.6998
KHM	3565.245	15417527		69.9	3.907
KHM	3972.724	15830694		70.5	4.4326
KHM	4354.5654	16589031		69.6	4.6403
KHM	3021.3323	14786650		68.9	
KHM	3197.532	14999691		69.3	
KHM	4464.2944	16207746		70.7	4.8484
ARE	59949.246	8664976	0.79630977	78.7	
ARE	68076.63	8916909	0.67287964	79.2	6.573
ARE	71782.16	9211660	0.6947718	79.7	6.7908
ARE	67668.29	9287286	0.6998813	78.9	6.5605
ARE	57815.17	8575210	0.59473795	78.5	6.977243
ARE	62354.824	8751853	0.6512911	78.9	
ARE	64334.09	8835957	0.69036144	79	6.901
ARE	69733.8	9365149	0.46982723	78.7	6.576
ARE	71244.586	8994266		79.3	6.648
ARE	71182.37	9068297		79.5	6.7741
ARE	71550.555	9140172		79.6	6.8245
JPN	38735.895	127853688	0.3355398	83.2	
JPN	38149.617	128007256	0.34529293	82.7	6.059098
JPN	41739.203	126255872	0.26454216	84.3	5.8861
JPN	41697.41	125791680	0.2535939	84.4	5.8708
JPN	39935.465	125244760	0.25390282	84.7	5.9405
JPN	41444.215	126662464	0.24158695	84.2	5.915
JPN	40784.383	124612528	0.22870894	84.8	6.0389
JPN	39739.543	127476728	0.30986047	83.7	5.987
JPN	40727.97	126993856	0.28505316	84.1	5.92
JPN	39569.637	127678920	0.2897894	83.4	
JPN	40402.582	127250936	0.28526312	83.9	5.921
GHA	4610.028	27525586	2.001773	62.4	
GHA	4128.56	26205940	1.6141378	61.7	4.704951
GHA	4616.6196	28870946	1.8184376	63.2	4.276
GHA	4402.546	26858760	2.0849807	62.1	
GHA	4929.568	30222266	2.015071	64	4.657
GHA	5345.9414	31522294	1.8114166	64.7	5.148
GHA	5263.5264	32180402	1.7246522	64.1	5.0884
GHA	4628.9014	28196356	1.9257805	63	4.633
GHA	5125.2495	30870648	1.6196619	64.1	4.9963
GHA	5435.238	32833036	1.8365651	63.8	4.872
GHA	4662.011	29554298	1.8575976	63.9	4.12
TJK	2481.572	7784820	1.6185347	68.1	4.613789
TJK	3903.32	9750078		71.6	5.3771
TJK	3091.2273	8725326		69.5	5.041
TJK	3236.4395	8925529		69.9	5.3525
TJK	2858.2354	8326354		69.1	4.786
TJK	3405.0908	9128131		70.4	5.4673
TJK	3651.9421	9543211	0.9116432	68	5.4662
TJK	2610.1665	7956383		68.5	
TJK	2959.9941	8524066		69.3	4.996
TJK	2741.2246	8136612		68.9	
TJK	3575.2798	9337008		70.9	5.5557
ARG	22747.242	44413592	5.367726	77	6.0863
ARG	23189.527	43668236	6.011234	76.3	6.599
ARG	21527.195	45276788	4.6226788	75.4	5.967
ARG	24647.629	41520736	6.0475802	76.1	6.242357
ARG	19685.217	45036032	5.3668137	75.9	5.9293
ARG	22071.748	44745516	5.155823	77.3	5.9747
ARG	23550.1	42824064	7.53782	76.8	6.574
ARG	24118.867	41952364	6.3119206	76.5	
ARG	23597.117	44054616	5.259381	76.8	6.388
ARG	24424.137	42388268	7.247288	76.5	
ARG	23933.887	43257064	6.558466	76.8	6.65
NGA	5429.0996	183995776		51.8	4.875
NGA	5089.778	198387616		52.6	5.2646
NGA	4865.087	208327408		52.9	4.7593
NGA	4975.638	165463744		51.4	4.855947
NGA	5424.9243	179379024		51.8	5.268
NGA	5045.4717	170075936		51.5	
NGA	5238.8325	174726128		51.7	
NGA	5209.074	188666928	33.604195	52	5.074
NGA	5076.368	203304496	21.74079	52.9	4.7241
NGA	4922.6323	213401328		52.7	4.552
NGA	5120.0054	193495904		52.3	5.1554
LSO	2533.1191	2225710		54.2	3.6528
LSO	2625.637	2118532		51.1	
LSO	2688.1345	2143876		52.3	3.808
LSO	2557.0002	2073948		49	
LSO	2404.3628	2037687		46.7	
LSO	2574.2964	2095251		50	4.898
LSO	2571.694	2170622		53.1	3.8082
LSO	2292.1953	2254104		54.7	3.5118
LSO	2535.471	2054722		47.8	
LSO	2541.4526	2198030		53.7	3.8019
LSO	2295.2322	2281464		53.1	3.5118
BHR	49387.418	1463266	0.068340294	78.8	6.6469
BHR	47847.84	1477478	0	79.2	6.6469
BHR	48915.53	1261683	0.87185824	79.2	
BHR	48453.727	1362157	0.22024135	79.4	6.218
BHR	49117.99	1311142	0.6864284	79.3	5.96
BHR	46564.71	1212086	0.99003613	78.9	5.567952
BHR	48929.445	1456844	0.411852	79.7	6.1051
BHR	48486.305	1409668	0.28375617	79.6	6.087
BHR	49768.977	1494195	0.26770383	80	6.2273
BHR	48937.66	1487346	0.33617073	79.9	6.1994
BHR	47793.53	1224948	0.7347302	79.1	
LBN	17172.197	5781912	3.1477506	79.2	4.7715
LBN	13780.958	5662924	2.2603166	77.8	4.5838
LBN	17808.076	6109255	4.02668	79.7	5.1989
LBN	16611.72	6398941	3.6099732	79.2	5.129
LBN	17248.19	6258628	3.7548215	79.5	5.225
LBN	19216.969	5045061	3.3299925	78.4	5.049216
LBN	16863.637	6274345	3.825102	79	4.839
LBN	12977.202	5592626		75	2.9553
LBN	19202.547	5178338	3.746376	78.6	
LBN	18180.367	5678859	4.15577	78.8	
LBN	17970.94	5950842	2.8903487	79.7	5.1973
